index,lower,upper
37,100936905112537622680323674761/6400000000000000000000000000000,3154278284766800708760114837/200000000000000000000000000000
38,59728535670803728296936943981/4000000000000000000000000000000,477828285366429826375495551963/32000000000000000000000000000000
39,452831509760663298473769693887/32000000000000000000000000000000,226415754880331649236884847001/16000000000000000000000000000000
40,429541726132472458984006049169/32000000000000000000000000000000,107385431533118114746001512321/8000000000000000000000000000000
41,509775104434981922479430119/40000000000000000000000000000,81564016709597107596708819063/6400000000000000000000000000000
42,193770037898900368516370978569/16000000000000000000000000000000,387540075797800737032741957253/32000000000000000000000000000000
43,184293194492891275182621339401/16000000000000000000000000000000,368586388985782550365242678917/32000000000000000000000000000000
44,175426930486194682743004384021/16000000000000000000000000000000,350853860972389365486008768157/32000000000000000000000000000000
45,66849308268854355463307621749/6400000000000000000000000000000,167123270672135888658269054427/16000000000000000000000000000000
46,7966921044702284361322595041/800000000000000000000000000000,318676841788091374452903801749/32000000000000000000000000000000
47,76016191954221242478025991431/8000000000000000000000000000000,304064767816884969912103965833/32000000000000000000000000000000
48,7258430593700787537331031913/800000000000000000000000000000,290337223748031501493241276629/32000000000000000000000000000000
49,138713691838563658183063193559/16000000000000000000000000000000,277427383677127316366126387227/32000000000000000000000000000000
50,66318530486058230871913424423/8000000000000000000000000000000,265274121944232923487653697801/32000000000000000000000000000000
51,126910748629438485918017012949/16000000000000000000000000000000,253821497258876971836034026007/32000000000000000000000000000000
52,243018285247410675244813103631/32000000000000000000000000000000,12150914262370533762240655187/1600000000000000000000000000000
53,46563510943830639488125254991/6400000000000000000000000000000,29102194339894149680078284383/4000000000000000000000000000000
54,111588141711797826041034318393/16000000000000000000000000000000,44635256684719130416413727379/6400000000000000000000000000000
55,214055009496192863668222387671/32000000000000000000000000000000,10702750474809643183411119389/1600000000000000000000000000000
56,205417515170649183590092613283/32000000000000000000000000000000,12838594698165573974380788337/2000000000000000000000000000000
57,24653817459512882605577703763/4000000000000000000000000000000,197230539676103060844621630213/32000000000000000000000000000000
58,189463518542649289897675070319/32000000000000000000000000000000,47365879635662322474418767607/8000000000000000000000000000000
59,182088346812105012663372772397/32000000000000000000000000000000,91044173406052506331686386253/16000000000000000000000000000000
60,43769790974067328947462172511/8000000000000000000000000000000,175079163896269315789848690153/32000000000000000000000000000000
61,2105151975564907537734324991/400000000000000000000000000000,168412158045192603018745999389/32000000000000000000000000000000
62,162065388585857631021714285663/32000000000000000000000000000000,40516347146464407755428571443/8000000000000000000000000000000
63,156018624269569129254407567457/32000000000000000000000000000000,78009312134784564627203783783/16000000000000000000000000000000
64,150253196226373327283806091017/32000000000000000000000000000000,75126598113186663641903045563/16000000000000000000000000000000
65,144751864168864887639683849749/32000000000000000000000000000000,72375932084432443819841924929/16000000000000000000000000000000
66,69749347308729821658527474927/16000000000000000000000000000000,139498694617459643317054949963/32000000000000000000000000000000
67,26895790007221069796280690443/6400000000000000000000000000000,33619737509026337245350863081/8000000000000000000000000000000
68,129678987872794391376613063967/32000000000000000000000000000000,32419746968198597844153266019/8000000000000000000000000000000
69,15635771074289107583362468279/4000000000000000000000000000000,125086168594312860666899746341/32000000000000000000000000000000
70,6034438594523137349089737173/1600000000000000000000000000000,120688771890462746981794743569/32000000000000000000000000000000
71,11647592030046846877894040363/3200000000000000000000000000000,116475920300468468778940403739/32000000000000000000000000000000
72,112437509584265450809898439261/32000000000000000000000000000000,11243750958426545080989843937/3200000000000000000000000000000
73,54282072612309070874604415843/16000000000000000000000000000000,21712829044923628349841766359/6400000000000000000000000000000
74,104847084503199832129960159579/32000000000000000000000000000000,13105885562899979016245019961/4000000000000000000000000000000
75,101278183645488848878300513783/32000000000000000000000000000000,25319545911372212219575128473/8000000000000000000000000000000
76,3057807799254207945918001117/1000000000000000000000000000000,97849849576134654269376035853/32000000000000000000000000000000
77,18910999173761386304487263009/6400000000000000000000000000000,47277497934403465761218157577/16000000000000000000000000000000
78,18277400502579036111463773721/6400000000000000000000000000000,45693501256447590278659434357/16000000000000000000000000000000
79,44169839577082861618957158601/16000000000000000000000000000000,88339679154165723237914317311/32000000000000000000000000000000
80,85407231497957875339133599791/32000000000000000000000000000000,854072314979578753391335999/320000000000000000000000000000
81,82584230592026630201262465121/32000000000000000000000000000000,8258423059202663020126246523/3200000000000000000000000000000
82,15973116946399838471542034191/6400000000000000000000000000000,9983198091499899044713771383/4000000000000000000000000000000
83,9655814219482814277010303173/4000000000000000000000000000000,77246513755862514216082425493/32000000000000000000000000000000
84,74722525515168726335126216257/32000000000000000000000000000000,37361262757584363167563108183/16000000000000000000000000000000
85,18072348582485604978276096599/8000000000000000000000000000000,14457878865988483982620877301/6400000000000000000000000000000
86,69943141251785188791226854301/32000000000000000000000000000000,4371446328236574299451678401/2000000000000000000000000000000
87,67680015975567441914074273097/32000000000000000000000000000000,16920003993891860478518568303/8000000000000000000000000000000
88,65496480254527612680049321461/32000000000000000000000000000000,8187060031815951585006165197/4000000000000000000000000000000
89,63389192686702118135687910859/32000000000000000000000000000000,31694596343351059067843955487/16000000000000000000000000000000
90,61354994752510083576575272181/32000000000000000000000000000000,7669374344063760447071909037/4000000000000000000000000000000
91,59390897994127325010034473969/32000000000000000000000000000000,59390897994127325010034474077/32000000000000000000000000000000
92,11498814447421198550135916743/6400000000000000000000000000000,57494072237105992750679583823/32000000000000000000000000000000
93,55661834763621549956527045107/32000000000000000000000000000000,11132366952724309991305409043/6400000000000000000000000000000
94,53891640354840576799257256901/32000000000000000000000000000000,53891640354840576799257257009/32000000000000000000000000000000
95,6522634015909569784480824611/4000000000000000000000000000000,13045268031819139568961649249/8000000000000000000000000000000
96,50527833094704522102116607219/32000000000000000000000000000000,50527833094704522102116607327/32000000000000000000000000000000
97,48929738393300911084716519937/32000000000000000000000000000000,9785947678660182216943304009/6400000000000000000000000000000
98,47384708113218369313974897937/32000000000000000000000000000000,9476941622643673862794979609/6400000000000000000000000000000
99,45890760684846918981116419571/32000000000000000000000000000000,45890760684846918981116419679/32000000000000000000000000000000
100,44446006772599291374327522547/32000000000000000000000000000000,8889201354519858274865504531/6400000000000000000000000000000
101,43048643633230652893126907669/32000000000000000000000000000000,43048643633230652893126907777/32000000000000000000000000000000
102,41696949899499458887528679899/32000000000000000000000000000000,41696949899499458887528680007/32000000000000000000000000000000
103,10097320188357747524738214449/8000000000000000000000000000000,2524330047089436881184553619/2000000000000000000000000000000
104,9781015864147354292453230333/8000000000000000000000000000000,244525396603683857311330759/200000000000000000000000000000
105,1515991728305050402235182947/1280000000000000000000000000000,37899793207626260055879573783/32000000000000000000000000000000
106,9178757324994629292888909407/8000000000000000000000000000000,4589378662497314646444454717/4000000000000000000000000000000
107,3556839155496182825762047271/3200000000000000000000000000000,17784195777480914128810236409/16000000000000000000000000000000
108,17229278503831979723959557871/16000000000000000000000000000000,689171140153279188958382317/640000000000000000000000000000
109,33384256825010872470452376027/32000000000000000000000000000000,6676851365002174494090475227/6400000000000000000000000000000
110,646885468743382324621808521/640000000000000000000000000000,16172136718584558115545213079/16000000000000000000000000000000
111,15668718932540057929992619621/16000000000000000000000000000000,626748757301602317199704787/640000000000000000000000000000
112,59302006305485431888181239/62500000000000000000000000000,7590656807102135281687198619/8000000000000000000000000000000
113,29418762419541408258383926899/32000000000000000000000000000000,29418762419541408258383927007/32000000000000000000000000000000
114,28504805930508809146896516797/32000000000000000000000000000000,5700961186101761829379303381/6400000000000000000000000000000
115,27619759820821989416972265851/32000000000000000000000000000000,27619759820821989416972265959/32000000000000000000000000000000
116,26762663815249748379335651429/32000000000000000000000000000000,26762663815249748379335651537/32000000000000000000000000000000
117,1037303740859550129227412389/1280000000000000000000000000000,25932593521488753230685309833/32000000000000000000000000000000
118,5025731751707095950726429631/6400000000000000000000000000000,25128658758535479753632148263/32000000000000000000000000000000
119,380468781052257942862607337/500000000000000000000000000000,6087500496836127085801717419/8000000000000000000000000000000
120,2949474604508318035926408463/4000000000000000000000000000000,5898949209016636071852816953/8000000000000000000000000000000
121,4573049342561182712239824381/6400000000000000000000000000000,22865246712805913561199122013/32000000000000000000000000000000
122,2215758349942697599265679301/3200000000000000000000000000000,11078791749713487996328396559/16000000000000000000000000000000
123,21472066320476960251660567167/32000000000000000000000000000000,858882652819078410066422691/1280000000000000000000000000000
124,2080798038178376682182301639/3200000000000000000000000000000,10403990190891883410911508249/16000000000000000000000000000000
125,2016463587373549798340140003/3200000000000000000000000000000,10082317936867748991700700069/16000000000000000000000000000000
126,19541366934657672501082212347/32000000000000000000000000000000,3908273386931534500216442491/6400000000000000000000000000000
127,18937530670077738663138076083/32000000000000000000000000000000,18937530670077738663138076191/32000000000000000000000000000000
128,4588126556001942997706985757/8000000000000000000000000000000,573515819500242874713373223/1000000000000000000000000000000
129,4446423474672002241783479297/8000000000000000000000000000000,1111605868668000560445869831/2000000000000000000000000000000
130,3447302863903748608363030239/6400000000000000000000000000000,8618257159759371520907575651/16000000000000000000000000000000
131,4176101910542119172933043247/8000000000000000000000000000000,3340881528433695338346434619/6400000000000000000000000000000
132,16188832799084252613170077371/32000000000000000000000000000000,8094416399542126306585038739/16000000000000000000000000000000
133,313785335656955061237813583/640000000000000000000000000000,1961158347855969132736334907/4000000000000000000000000000000
134,7602601982009928515833239073/16000000000000000000000000000000,3801300991004964257916619563/8000000000000000000000000000000
135,7368077720649258815557330141/16000000000000000000000000000000,3684038860324629407778665097/8000000000000000000000000000000
136,7140824210990778795502371007/16000000000000000000000000000000,357041210549538939775118553/800000000000000000000000000000
137,2768245126175727408970009809/6400000000000000000000000000000,13841225630878637044850049151/32000000000000000000000000000000
138,838402796622278819773654269/2000000000000000000000000000000,1341444474595646111637846841/3200000000000000000000000000000
139,6500438929564695831939191507/16000000000000000000000000000000,162510973239117395798479789/400000000000000000000000000000
140,12600110960725033633715487483/32000000000000000000000000000000,12600110960725033633715487589/32000000000000000000000000000000
141,6105871723131008177056514631/16000000000000000000000000000000,1526467930782752044264128671/4000000000000000000000000000000
142,11835387644275935077781891507/32000000000000000000000000000000,11835387644275935077781891613/32000000000000000000000000000000
143,2867667091005008443270492971/8000000000000000000000000000000,1147066836402003377308197199/3200000000000000000000000000000
144,5558611230975201631921592983/16000000000000000000000000000000,1389652807743800407980398259/4000000000000000000000000000000
145,10774698425981883280618051081/32000000000000000000000000000000,10774698425981883280618051187/32000000000000000000000000000000
146,10442755976571079640746951033/32000000000000000000000000000000,10442755976571079640746951139/32000000000000000000000000000000
147,126513321046843418021264703/400000000000000000000000000000,5060532841873736720850588173/16000000000000000000000000000000
148,4904654299636497648292684793/16000000000000000000000000000000,2452327149818248824146342423/8000000000000000000000000000000
149,1188396987895638575832780353/4000000000000000000000000000000,950717590316510860666224293/3200000000000000000000000000000
150,1842873712773759346239033537/6400000000000000000000000000000,9214368563868796731195167791/32000000000000000000000000000000
151,2232649252852312249814351433/8000000000000000000000000000000,4465298505704624499628702919/16000000000000000000000000000000
152,4327790411449913282661526731/16000000000000000000000000000000,16905431294726223760396589/62500000000000000000000000000
153,8389048419819368234934320733/32000000000000000000000000000000,8389048419819368234934320839/32000000000000000000000000000000
154,8130736776509348659013610687/32000000000000000000000000000000,8130736776509348659013610793/32000000000000000000000000000000
155,985048892421885273748491193/4000000000000000000000000000000,157607822787501643799758593/640000000000000000000000000000
156,7637764756306308270537992383/32000000000000000000000000000000,7637764756306308270537992489/32000000000000000000000000000000
157,7402618615861311129037114309/32000000000000000000000000000000,1480523723172262225807422883/6400000000000000000000000000000
158,1793680298946352956463919089/8000000000000000000000000000000,3587360597892705912927838231/16000000000000000000000000000000
159,6953848220459401425738887573/32000000000000000000000000000000,6953848220459401425738887679/32000000000000000000000000000000
160,6739782426896421916330297849/32000000000000000000000000000000,1347956485379284383266059591/6400000000000000000000000000000
161,3266156669463547017313168387/16000000000000000000000000000000,81653916736588675432829211/400000000000000000000000000000
162,6331237049232473163412048707/32000000000000000000000000000000,6331237049232473163412048813/32000000000000000000000000000000
163,6136356008902808995869669433/32000000000000000000000000000000,6136356008902808995869669539/32000000000000000000000000000000
164,5947478824217204166817649319/32000000000000000000000000000000,237899152968688166672705977/1280000000000000000000000000000
165,1441105015088803558848624669/8000000000000000000000000000000,2882210030177607117697249391/16000000000000000000000000000000
166,5587000051766300150721065451/32000000000000000000000000000000,5587000051766300150721065557/32000000000000000000000000000000
167,5415044718936920447664927307/32000000000000000000000000000000,5415044718936920447664927413/32000000000000000000000000000000
168,5248385391308012359185552749/32000000000000000000000000000000,1049677078261602471837110571/6400000000000000000000000000000
169,508685863610773054475992587/3200000000000000000000000000000,635857329513466318094990747/4000000000000000000000000000000
170,246515304643782742838504421/1600000000000000000000000000000,2465153046437827428385044263/16000000000000000000000000000000
171,955714862693060911619379543/6400000000000000000000000000000,4778574313465304558096897821/32000000000000000000000000000000
172,2315757303660880319123891089/16000000000000000000000000000000,1157878651830440159561945571/8000000000000000000000000000000
173,4488982891840550686555715411/32000000000000000000000000000000,4488982891840550686555715517/32000000000000000000000000000000
174,4350839547622738271199278093/32000000000000000000000000000000,4350839547622738271199278199/32000000000000000000000000000000
175,843389855689884636396063327/6400000000000000000000000000000,4216949278449423181980316741/32000000000000000000000000000000
176,510897621975829867336797623/4000000000000000000000000000000,408718097580663893869438109/3200000000000000000000000000000
177,1980703793899482572358675959/16000000000000000000000000000000,495175948474870643089669003/4000000000000000000000000000000
178,3839505992297087140079221661/32000000000000000000000000000000,3839505992297087140079221767/32000000000000000000000000000000
179,930339218542765965509949613/8000000000000000000000000000000,1860678437085531931019899279/16000000000000000000000000000000
180,3606844606467234288344985489/32000000000000000000000000000000,721368921293446857668997119/6400000000000000000000000000000
181,699171427078505703504997729/6400000000000000000000000000000,3495857135392528517524988751/32000000000000000000000000000000
182,211767866810967161754346259/2000000000000000000000000000000,13553143475901898352278161/128000000000000000000000000000
183,82100639231960696107794371/800000000000000000000000000000,1642012784639213922155887473/16000000000000000000000000000000
184,795743562010128901565950789/8000000000000000000000000000000,1591487124020257803131901631/16000000000000000000000000000000
185,1542516532817752059765492839/16000000000000000000000000000000,385629133204438014941373223/4000000000000000000000000000000
186,747526558308318462646912223/8000000000000000000000000000000,1495053116616636925293824499/16000000000000000000000000000000
187,724525229514462112366004721/8000000000000000000000000000000,289810091805784844946401899/3200000000000000000000000000000
188,702231787909744057805835811/8000000000000000000000000000000,56178543032779524624466867/640000000000000000000000000000
189,680624435239530960840095503/8000000000000000000000000000000,1361248870479061921680191059/16000000000000000000000000000000
190,527745636478684380718973401/6400000000000000000000000000000,2638728182393421903594867111/32000000000000000000000000000000
191,2557536578371612912225817137/32000000000000000000000000000000,2557536578371612912225817243/32000000000000000000000000000000
192,2478843556638402928504185949/32000000000000000000000000000000,495768711327680585700837211/6400000000000000000000000000000
193,2402572192061819847276734917/32000000000000000000000000000000,2402572192061819847276735023/32000000000000000000000000000000
194,291080991360780176630551663/4000000000000000000000000000000,232864793088624141304441341/3200000000000000000000000000000
195,141062407334855219455253921/2000000000000000000000000000000,1128499258678841755642031421/16000000000000000000000000000000
196,1093776961321870668800782879/16000000000000000000000000000000,273444240330467667200195733/4000000000000000000000000000000
197,2120246275974259777402793411/32000000000000000000000000000000,2120246275974259777402793517/32000000000000000000000000000000
198,513752449482845311833972461/8000000000000000000000000000000,41100195958627624946717799/640000000000000000000000000000
199,124486295988755338257035023/2000000000000000000000000000000,995890367910042706056280237/16000000000000000000000000000000
200,1930497301052701233192362851/32000000000000000000000000000000,1930497301052701233192362957/32000000000000000000000000000000
201,187109960848314297925129613/3200000000000000000000000000000,467774902120785744812824059/8000000000000000000000000000000
202,113345601101800189167673449/2000000000000000000000000000000,181352961762880302668277529/3200000000000000000000000000000
203,1757731075720130068537933277/32000000000000000000000000000000,1757731075720130068537933383/32000000000000000000000000000000
204,1703649462519935997756690291/32000000000000000000000000000000,1703649462519935997756690397/32000000000000000000000000000000
205,1651231936856412222919612041/32000000000000000000000000000000,1651231936856412222919612147/32000000000000000000000000000000
206,320085456963140048714402241/6400000000000000000000000000000,1600427284815700243572011311/32000000000000000000000000000000
207,1551185869541655452629771923/32000000000000000000000000000000,387796467385413863157443007/8000000000000000000000000000000
208,60138383303686824899818249/1280000000000000000000000000000,150345958259217062249545633/3200000000000000000000000000000
209,291440359360617888952496997/6400000000000000000000000000000,145720179680308944476248509/3200000000000000000000000000000
210,1412367320612343719894953961/32000000000000000000000000000000,706183660306171859947477033/16000000000000000000000000000000
211,684456176899246524887045553/16000000000000000000000000000000,1368912353798493049774091211/32000000000000000000000000000000
212,10614355556714685836906259/256000000000000000000000000000,16584930557366696620166031/400000000000000000000000000000
213,1285972448097696375672268357/32000000000000000000000000000000,642986224048848187836134231/16000000000000000000000000000000
214,155800810755360241687577887/4000000000000000000000000000000,1246406486042881933500623201/32000000000000000000000000000000
215,120805790771763523286801107/3200000000000000000000000000000,48322316308705409314720447/1280000000000000000000000000000
216,117088925216170621660784733/3200000000000000000000000000000,234177850432341243321569487/6400000000000000000000000000000
217,1134864211504407287897190023/32000000000000000000000000000000,70929013219025455493574383/2000000000000000000000000000000
218,68746724714982669269751753/2000000000000000000000000000000,1099947595439722708316028153/32000000000000000000000000000000
219,1066105296798704356406464973/32000000000000000000000000000000,533052648399352178203232539/16000000000000000000000000000000
220,258326064546252263404086727/8000000000000000000000000000000,1033304258185009053616347013/32000000000000000000000000000000
221,1001512439640517628835458169/32000000000000000000000000000000,500756219820258814417729137/16000000000000000000000000000000
222,485349393654512197103571591/16000000000000000000000000000000,970698787309024394207143287/32000000000000000000000000000000
223,940833203066999141179856757/32000000000000000000000000000000,470416601533499570589928431/16000000000000000000000000000000
224,28496453596606358338224609/1000000000000000000000000000000,911886515091403466823187599/32000000000000000000000000000000
225,88383044933549047284994937/3200000000000000000000000000000,883830449335490472849949481/32000000000000000000000000000000
226,214159400471108212676844711/8000000000000000000000000000000,171327520376886570141475791/6400000000000000000000000000000
227,415140706081755113451119473/16000000000000000000000000000000,830281412163510226902239057/32000000000000000000000000000000
228,402368068486221746197238863/16000000000000000000000000000000,804736136972443492394477837/32000000000000000000000000000000
229,779976825320292728161572793/32000000000000000000000000000000,389988412660146364080786449/16000000000000000000000000000000
230,188994823509034317317494521/8000000000000000000000000000000,755979294036137269269978189/32000000000000000000000000000000
231,366360052065766190842438913/16000000000000000000000000000000,732720104131532381684877931/32000000000000000000000000000000
232,22193016809108996191021759/1000000000000000000000000000000,710176537891487878112696393/32000000000000000000000000000000
233,344163288335720325517624747/16000000000000000000000000000000,688326576671440651035249599/32000000000000000000000000000000
234,166787219844599098915916679/8000000000000000000000000000000,667148879378396395663666821/32000000000000000000000000000000
235,25864910464603861639350711/1280000000000000000000000000000,16165569040377413524594197/800000000000000000000000000000
236,313364087733362689337057471/16000000000000000000000000000000,626728175466725378674115047/32000000000000000000000000000000
237,151861422477577580398978683/8000000000000000000000000000000,607445689910310321595914837/32000000000000000000000000000000
238,588756471827585850384854839/32000000000000000000000000000000,18398639744612057824526717/1000000000000000000000000000000
239,570642267602689704988715709/32000000000000000000000000000000,285321133801344852494357907/16000000000000000000000000000000
240,553085385286638907730274833/32000000000000000000000000000000,276542692643319453865137469/16000000000000000000000000000000
241,268034338655546950126544803/16000000000000000000000000000000,536068677311093900253089711/32000000000000000000000000000000
242,129893880933615512264442003/8000000000000000000000000000000,519575523734462049057768117/32000000000000000000000000000000
243,100717963200783522169353817/6400000000000000000000000000000,50358981600391761084676919/3200000000000000000000000000000
244,488095941217424515291802789/32000000000000000000000000000000,244047970608712257645901447/16000000000000000000000000000000
245,473078766870341563992830261/32000000000000000000000000000000,236539383435170781996415183/16000000000000000000000000000000
246,229261813035833692641446061/16000000000000000000000000000000,458523626071667385282892227/32000000000000000000000000000000
247,222208151607722615555560739/16000000000000000000000000000000,444416303215445231111121583/32000000000000000000000000000000
248,215371510046647971150837623/16000000000000000000000000000000,430743020093295942301675351/32000000000000000000000000000000
249,16699616897379264498272353/1280000000000000000000000000000,41749042243448161245680893/3200000000000000000000000000000
250,40464556686032310243589803/3200000000000000000000000000000,80929113372064620487179627/6400000000000000000000000000000
251,12256122132506313580050263/1000000000000000000000000000000,392195908240202034561608521/32000000000000000000000000000000
252,380129287436772651082806231/32000000000000000000000000000000,5939520116199572673168849/500000000000000000000000000000
253,184216959714195681467159993/16000000000000000000000000000000,368433919428391362934320091/32000000000000000000000000000000
254,178549190898571168207581431/16000000000000000000000000000000,357098381797142336415162967/32000000000000000000000000000000
255,346111603571196447528359609/32000000000000000000000000000000,173055801785598223764179857/16000000000000000000000000000000
256,41932856801323592990188683/4000000000000000000000000000000,335462854410588743921509569/32000000000000000000000000000000
257,162570867062918273872691573/16000000000000000000000000000000,325141734125836547745383251/32000000000000000000000000000000
258,315138162519146852471677207/32000000000000000000000000000000,2462016894680834784934979/250000000000000000000000000000
259,305442369538278044458422761/32000000000000000000000000000000,152721184769139022229211433/16000000000000000000000000000000
260,148022442866713768225573357/16000000000000000000000000000000,296044885733427536451146819/32000000000000000000000000000000
261,57387306601562789050942047/6400000000000000000000000000000,14346826650390697262735517/1600000000000000000000000000000
262,139054207826455139631048109/16000000000000000000000000000000,278108415652910279262096323/32000000000000000000000000000000
263,134775955829781756639758023/16000000000000000000000000000000,269551911659563513279516151/32000000000000000000000000000000
264,261258664296506198539634897/32000000000000000000000000000000,130629332148253099269817501/16000000000000000000000000000000
265,50644114789605531237723909/6400000000000000000000000000000,5064411478960553123772393/640000000000000000000000000000
266,30678723775353261910472957/4000000000000000000000000000000,245429790202826095283783761/32000000000000000000000000000000
267,118939352093154467675351897/16000000000000000000000000000000,237878704186308935350703899/32000000000000000000000000000000
268,115279970564423472257463839/16000000000000000000000000000000,230559941128846944514927783/32000000000000000000000000000000
269,22346635316271876491449717/3200000000000000000000000000000,8938654126508750596579891/1280000000000000000000000000000
270,54147753085176554409999729/8000000000000000000000000000000,216591012340706217639999021/32000000000000000000000000000000
271,209927203869517682581950549/32000000000000000000000000000000,104963601934758841290975327/16000000000000000000000000000000
272,25433552443928381238371377/4000000000000000000000000000000,203468419551427049906971121/32000000000000000000000000000000
273,98604175713859724083428857/16000000000000000000000000000000,197208351427719448166857819/32000000000000000000000000000000
274,191140885617732371351557111/32000000000000000000000000000000,5973152675554136604736163/1000000000000000000000000000000
275,46315024086868037296703713/8000000000000000000000000000000,185260096347472149186814963/32000000000000000000000000000000
276,89780120080985560550270031/16000000000000000000000000000000,179560240161971121100540173/32000000000000000000000000000000
277,43508937578932641997192653/8000000000000000000000000000000,174035750315730567988770723/32000000000000000000000000000000
278,84340615667884302426170793/16000000000000000000000000000000,168681231335768604852341697/32000000000000000000000000000000
279,2043643171899512669884299/400000000000000000000000000000,163491453751961013590744031/32000000000000000000000000000000
280,31692269797905313069866963/6400000000000000000000000000000,79230674494763282674667463/16000000000000000000000000000000
281,153586004418666907194889371/32000000000000000000000000000000,76793002209333453597444741/16000000000000000000000000000000
282,74430329278262362422486153/16000000000000000000000000000000,148860658556524724844972417/32000000000000000000000000000000
283,36070174104193198273645427/8000000000000000000000000000000,144280696416772793094581819/32000000000000000000000000000000
284,69920822501145417558910699/16000000000000000000000000000000,139841645002290835117821509/32000000000000000000000000000000
285,67769584468263486514440971/16000000000000000000000000000000,135539168936526973028882047/32000000000000000000000000000000
286,65684533114638051288422613/16000000000000000000000000000000,131369066229276102576845331/32000000000000000000000000000000
287,6366363208636944896660633/1600000000000000000000000000000,25465452834547779586642553/6400000000000000000000000000000
288,123409815363852477357322209/32000000000000000000000000000000,61704907681926238678661157/16000000000000000000000000000000
289,11961289384900716221153233/3200000000000000000000000000000,23922578769801432442306487/6400000000000000000000000000000
290,57966395693691680781782967/16000000000000000000000000000000,115932791387383361563566039/32000000000000000000000000000000
291,28091478457314632475100717/8000000000000000000000000000000,112365913829258529900402973/32000000000000000000000000000000
292,108908777605746490073884011/32000000000000000000000000000000,27227194401436622518471029/8000000000000000000000000000000
293,105558006326540297750890743/32000000000000000000000000000000,3298687697704384304715339/1000000000000000000000000000000
294,51155163741167677085949963/16000000000000000000000000000000,102310327482335354171900031/32000000000000000000000000000000
295,49581284624355877216955309/16000000000000000000000000000000,99162569248711754433910723/32000000000000000000000000000000
296,96111657388353989096866397/32000000000000000000000000000000,48055828694176994548433251/16000000000000000000000000000000
