index,lower,upper
150,42412714689749743217787537/4000000000000000000000000000000,42412714689749743217787549/4000000000000000000000000000000
151,39842853477717771773498289/4000000000000000000000000000000,39842853477717771773498301/4000000000000000000000000000000
152,74857432684138128738729321/8000000000000000000000000000000,14971486536827625747745869/1600000000000000000000000000000
153,17580432805625004644427829/2000000000000000000000000000000,3516086561125000928885567/400000000000000000000000000000
154,66060871490937759226760157/8000000000000000000000000000000,66060871490937759226760181/8000000000000000000000000000000
155,62058197267912523799375343/8000000000000000000000000000000,62058197267912523799375367/8000000000000000000000000000000
156,14574515499672075707397913/2000000000000000000000000000000,14574515499672075707397919/2000000000000000000000000000000
157,2190630702476878613157383/320000000000000000000000000000,54765767561921965328934599/8000000000000000000000000000000
158,51447506753341186160813371/8000000000000000000000000000000,10289501350668237232162679/1600000000000000000000000000000
159,4833030926046393373979761/800000000000000000000000000000,24165154630231966869898817/4000000000000000000000000000000
160,2837624432256705630838717/500000000000000000000000000000,5675248864513411261677437/1000000000000000000000000000000
161,42651106031380123708883243/8000000000000000000000000000000,42651106031380123708883267/8000000000000000000000000000000
162,20033451310503126571617869/4000000000000000000000000000000,20033451310503126571617881/4000000000000000000000000000000
163,18819640172615786027563337/4000000000000000000000000000000,18819640172615786027563349/4000000000000000000000000000000
164,35358751003276369147216567/8000000000000000000000000000000,35358751003276369147216591/8000000000000000000000000000000
165,8304100355836514969874467/2000000000000000000000000000000,8304100355836514969874473/2000000000000000000000000000000
166,31203858603650308312405229/8000000000000000000000000000000,31203858603650308312405253/8000000000000000000000000000000
167,14656628483870030171898419/4000000000000000000000000000000,14656628483870030171898431/4000000000000000000000000000000
168,688430190144748726202097/200000000000000000000000000000,430268868840467953876311/125000000000000000000000000000
169,12934384690631625274278759/4000000000000000000000000000000,12934384690631625274278771/4000000000000000000000000000000
170,24301421789729357397528683/8000000000000000000000000000000,24301421789729357397528707/8000000000000000000000000000000
171,5707259865872233390906893/2000000000000000000000000000000,5707259865872233390906899/2000000000000000000000000000000
172,21445868222127029160812761/8000000000000000000000000000000,4289173644425405832162557/1600000000000000000000000000000
173,20146502575185259840996531/8000000000000000000000000000000,4029300515037051968199311/1600000000000000000000000000000
174,4731466147211221951685943/2000000000000000000000000000000,18925864588844887806743797/8000000000000000000000000000000
175,17779184033865969726165517/8000000000000000000000000000000,8889592016932984863082771/4000000000000000000000000000000
176,8350989868527473102558139/4000000000000000000000000000000,16701979737054946205116303/8000000000000000000000000000000
177,15690042063254105265438859/8000000000000000000000000000000,3922510515813526316359721/2000000000000000000000000000000
178,230303382176249868219479/125000000000000000000000000000,14739416459279991566046681/8000000000000000000000000000000
179,6923193997700815162984991/4000000000000000000000000000000,13846387995401630325970007/8000000000000000000000000000000
180,812966677741242655779103/500000000000000000000000000000,13007466843859882492465673/8000000000000000000000000000000
181,2443874927520364396036007/1600000000000000000000000000000,610968731880091099009003/400000000000000000000000000000
182,11479031655853250579788109/8000000000000000000000000000000,11479031655853250579788133/8000000000000000000000000000000
183,5391772393195986050562943/4000000000000000000000000000000,1078354478639197210112591/800000000000000000000000000000
184,10130196217427027747844383/8000000000000000000000000000000,10130196217427027747844407/8000000000000000000000000000000
185,9516432814846757555391789/8000000000000000000000000000000,9516432814846757555391813/8000000000000000000000000000000
186,357594245731302773920761/320000000000000000000000000000,8939856143282569348019049/8000000000000000000000000000000
187,419910654597812380244337/400000000000000000000000000000,2099553272989061901221691/2000000000000000000000000000000
188,7889387068646452320099807/8000000000000000000000000000000,7889387068646452320099831/8000000000000000000000000000000
189,926423715916758358211899/1000000000000000000000000000000,463211857958379179105951/500000000000000000000000000000
190,6962353197175008073254007/8000000000000000000000000000000,6962353197175008073254031/8000000000000000000000000000000
191,6540522782411230078900537/8000000000000000000000000000000,6540522782411230078900561/8000000000000000000000000000000
192,1536062526168413137414953/2000000000000000000000000000000,1536062526168413137414959/2000000000000000000000000000000
193,5771986660861869058711009/8000000000000000000000000000000,5771986660861869058711033/8000000000000000000000000000000
194,2711138885705772820974743/4000000000000000000000000000000,542227777141154564194951/800000000000000000000000000000
195,5093756895287790881520551/8000000000000000000000000000000,203750275811511635260823/320000000000000000000000000000
196,47851402894774655451387/80000000000000000000000000000,1196285072369366386284681/2000000000000000000000000000000
197,4495221992101034482304219/8000000000000000000000000000000,4495221992101034482304243/8000000000000000000000000000000
198,2111434554765217740953703/4000000000000000000000000000000,422286910953043548190743/800000000000000000000000000000
199,1983508694544258114789777/4000000000000000000000000000000,1983508694544258114789789/4000000000000000000000000000000
200,745333412004507191389087/1600000000000000000000000000000,3726667060022535956945459/8000000000000000000000000000000
201,3500878926493423440588969/8000000000000000000000000000000,3500878926493423440588993/8000000000000000000000000000000
202,8221926743270104124237/20000000000000000000000000000,411096337163505206211853/1000000000000000000000000000000
203,1544756769023747595522487/4000000000000000000000000000000,1544756769023747595522499/4000000000000000000000000000000
204,2902328832114158354284379/8000000000000000000000000000000,2902328832114158354284403/8000000000000000000000000000000
205,2726485138037006929929273/8000000000000000000000000000000,2726485138037006929929297/8000000000000000000000000000000
206,2561295331142206752440039/8000000000000000000000000000000,2561295331142206752440063/8000000000000000000000000000000
207,601528479604188057890981/2000000000000000000000000000000,601528479604188057890987/2000000000000000000000000000000
208,452066903214016477821997/1600000000000000000000000000000,2260334516070082389110009/8000000000000000000000000000000
209,2123387479934681956232777/8000000000000000000000000000000,1061693739967340978116401/4000000000000000000000000000000
210,99736883972209581636037/400000000000000000000000000000,398947535888838326544153/1600000000000000000000000000000
211,1873882406488844087272879/8000000000000000000000000000000,234235300811105510909113/1000000000000000000000000000000
212,1760349410975308020408707/8000000000000000000000000000000,1760349410975308020408731/8000000000000000000000000000000
213,330739011082665102994257/1600000000000000000000000000000,1653695055413325514971309/8000000000000000000000000000000
214,48546955666150204404311/250000000000000000000000000000,194187822664600817617247/1000000000000000000000000000000
215,729690240322059873092869/4000000000000000000000000000000,729690240322059873092881/4000000000000000000000000000000
216,1370960965912900903585883/8000000000000000000000000000000,1370960965912900903585907/8000000000000000000000000000000
217,321974633252599033922307/2000000000000000000000000000000,321974633252599033922313/2000000000000000000000000000000
218,604934305541337669552543/4000000000000000000000000000000,120986861108267533910511/800000000000000000000000000000
219,568283147113204772689979/4000000000000000000000000000000,568283147113204772689991/4000000000000000000000000000000
220,1067705150026635739100789/8000000000000000000000000000000,1067705150026635739100813/8000000000000000000000000000000
221,501508050142142289999249/4000000000000000000000000000000,501508050142142289999261/4000000000000000000000000000000
222,471123184779697671104327/4000000000000000000000000000000,471123184779697671104339/4000000000000000000000000000000
223,442579248710495861416907/4000000000000000000000000000000,442579248710495861416919/4000000000000000000000000000000
224,415764705271789289042137/4000000000000000000000000000000,415764705271789289042149/4000000000000000000000000000000
225,31245982040964673603189/320000000000000000000000000000,781149551024116840079749/8000000000000000000000000000000
226,146764411502611303354959/1600000000000000000000000000000,733822057513056516774819/8000000000000000000000000000000
227,689361995959414976846809/8000000000000000000000000000000,689361995959414976846833/8000000000000000000000000000000
228,647595636963786762786781/8000000000000000000000000000000,129519127392757352557361/1600000000000000000000000000000
229,608359776915320109860103/8000000000000000000000000000000,608359776915320109860127/8000000000000000000000000000000
230,571501100259806356109851/8000000000000000000000000000000,4572008802078450848879/64000000000000000000000000000
231,134218895101692626964121/2000000000000000000000000000000,536875580406770507856509/8000000000000000000000000000000
232,504347916934452813584501/8000000000000000000000000000000,252173958467226406792263/4000000000000000000000000000000
233,236895503446711316814827/4000000000000000000000000000000,473791006893422633629679/8000000000000000000000000000000
234,445085448142821721538413/8000000000000000000000000000000,222542724071410860769219/4000000000000000000000000000000
235,41811907277841518511119/800000000000000000000000000000,26132442048650949069451/500000000000000000000000000000
236,49098313603653027718177/1000000000000000000000000000000,196393254414612110872721/4000000000000000000000000000000
237,23061798031874056931461/500000000000000000000000000000,184494384254992455451701/4000000000000000000000000000000
238,13865314456818148755003/320000000000000000000000000000,346632861420453718875101/8000000000000000000000000000000
239,2543995556094285744057/62500000000000000000000000000,162815715590034287619661/4000000000000000000000000000000
240,76475603519513869193303/2000000000000000000000000000000,152951207039027738386619/4000000000000000000000000000000
241,287368718405102526649869/8000000000000000000000000000000,57473743681020505329979/1600000000000000000000000000000
242,269957923213542392069519/8000000000000000000000000000000,53991584642708478413909/1600000000000000000000000000000
243,253601995328906248790751/8000000000000000000000000000000,253601995328906248790777/8000000000000000000000000000000
244,238237023507034118131837/8000000000000000000000000000000,238237023507034118131863/8000000000000000000000000000000
245,5595074217448171208519/200000000000000000000000000000,111901484348963424170393/4000000000000000000000000000000
246,10512171472023285558537/400000000000000000000000000000,105121714720232855585383/4000000000000000000000000000000
247,197505421471252669527087/8000000000000000000000000000000,197505421471252669527113/8000000000000000000000000000000
248,92769585343184454385731/4000000000000000000000000000000,5798099083949028399109/250000000000000000000000000000
249,17429791864702829408139/800000000000000000000000000000,21787239830878536760177/1000000000000000000000000000000
250,81868869934559972620649/4000000000000000000000000000000,163737739869119945241323/8000000000000000000000000000000
251,6152694807307267061309/320000000000000000000000000000,615269480730726706131/32000000000000000000000000000
252,2889960909812071845131/160000000000000000000000000000,5779921819624143690263/320000000000000000000000000000
253,33935837574124427964537/2000000000000000000000000000000,135743350296497711858173/8000000000000000000000000000000
254,1992485553278811442747/125000000000000000000000000000,127519075409843932335833/8000000000000000000000000000000
255,23958616854476821175557/1600000000000000000000000000000,11979308427238410587781/800000000000000000000000000000
256,56267593691712331803969/4000000000000000000000000000000,112535187383424663607963/8000000000000000000000000000000
257,105717024333355705751801/8000000000000000000000000000000,52858512166677852875913/4000000000000000000000000000000
258,19862390596884896135117/1600000000000000000000000000000,9931195298442448067561/800000000000000000000000000000
259,46647472682864936082891/4000000000000000000000000000000,93294945365729872165807/8000000000000000000000000000000
260,87642489875641048089071/8000000000000000000000000000000,87642489875641048089097/8000000000000000000000000000000
261,82332499409490322933529/8000000000000000000000000000000,16466499881898064586711/1600000000000000000000000000000
262,38672112526771933918787/4000000000000000000000000000000,96680281316929834797/10000000000000000000000000000
263,72658175008004644620231/8000000000000000000000000000000,72658175008004644620257/8000000000000000000000000000000
264,68256038422234842657217/8000000000000000000000000000000,68256038422234842657243/8000000000000000000000000000000
265,64120613844580006613833/8000000000000000000000000000000,64120613844580006613859/8000000000000000000000000000000
266,60235742007208968339869/8000000000000000000000000000000,30117871003604484169947/4000000000000000000000000000000
267,7073280335415387750073/1000000000000000000000000000000,56586242683323102000609/8000000000000000000000000000000
268,13289463842500375642591/2000000000000000000000000000000,53157855370001502570389/8000000000000000000000000000000
269,49937183564897628138377/8000000000000000000000000000000,24968591782448814069201/4000000000000000000000000000000
270,46911642419046162269139/8000000000000000000000000000000,11727910604761540567291/2000000000000000000000000000000
271,44069409561231220647979/8000000000000000000000000000000,11017352390307805162001/2000000000000000000000000000000
272,41399378901760098138509/8000000000000000000000000000000,20699689450880049069267/4000000000000000000000000000000
273,1944555861756447818571/400000000000000000000000000000,7778223447025791274289/1600000000000000000000000000000
274,18267411736001840995017/4000000000000000000000000000000,36534823472003681990059/8000000000000000000000000000000
275,17160645170606669573439/4000000000000000000000000000000,34321290341213339146903/8000000000000000000000000000000
276,8060467103026336194239/2000000000000000000000000000000,32241868412105344776981/8000000000000000000000000000000
277,30288432296678427019757/8000000000000000000000000000000,15144216148339213509891/4000000000000000000000000000000
278,3556668612428377027517/1000000000000000000000000000000,28453348899427016220161/8000000000000000000000000000000
279,13364723795416123905579/4000000000000000000000000000000,26729447590832247811183/8000000000000000000000000000000
280,25109992187951494050159/8000000000000000000000000000000,3138749023493936756273/1000000000000000000000000000000
281,4717730926523931917891/1600000000000000000000000000000,589716365815491489737/200000000000000000000000000000
282,22159490264408967114103/8000000000000000000000000000000,1384968141525560444633/500000000000000000000000000000
283,20816914591725544851503/8000000000000000000000000000000,20816914591725544851527/8000000000000000000000000000000
284,9777840735137579104951/4000000000000000000000000000000,9777840735137579104963/4000000000000000000000000000000
285,18370862603629778329683/8000000000000000000000000000000,18370862603629778329707/8000000000000000000000000000000
286,8628914142896420077851/4000000000000000000000000000000,8628914142896420077863/4000000000000000000000000000000
287,16212229310514198987981/8000000000000000000000000000000,3242445862102839797601/1600000000000000000000000000000
288,15229979976664911460481/8000000000000000000000000000000,3045995995332982292101/1600000000000000000000000000000
289,3576810530816214912771/2000000000000000000000000000000,14307242123264859651109/8000000000000000000000000000000
290,420012816618113789819/250000000000000000000000000000,13440410131779641274233/8000000000000000000000000000000
291,315652420927069659991/200000000000000000000000000000,2525219367416557279933/1600000000000000000000000000000
292,118611202920300010777/80000000000000000000000000000,474444811681200043109/320000000000000000000000000000
293,5571245666963827498769/4000000000000000000000000000000,11142491333927654997563/8000000000000000000000000000000
294,10467401904311157610439/8000000000000000000000000000000,327106309509723675327/250000000000000000000000000000
295,4916607038196224537839/4000000000000000000000000000000,9833214076392449075703/8000000000000000000000000000000
296,9237449747301071155311/8000000000000000000000000000000,1154681218412633894417/1000000000000000000000000000000
297,4338890477420492062871/4000000000000000000000000000000,8677780954840984125767/8000000000000000000000000000000
298,8152020780925609548201/8000000000000000000000000000000,4076010390462804774113/4000000000000000000000000000000
299,3829057403073020501791/4000000000000000000000000000000,7658114806146041003607/8000000000000000000000000000000
300,224816658815029173859/250000000000000000000000000000,7194133082080933563513/8000000000000000000000000000000
301,3379131294989836507627/4000000000000000000000000000000,6758262589979673015279/8000000000000000000000000000000
302,6348800156350943006141/8000000000000000000000000000000,3174400078175471503083/4000000000000000000000000000000
303,5964145797774178679719/8000000000000000000000000000000,93189778090221541871/125000000000000000000000000000
304,2801398234464297730241/4000000000000000000000000000000,5602796468928595460507/8000000000000000000000000000000
305,5263340189410065133201/8000000000000000000000000000000,2631670094705032566613/4000000000000000000000000000000
306,154514078949569841259/250000000000000000000000000000,2472225263193117460157/4000000000000000000000000000000
